Match ID,Season,Match Date,Venue,Teams,Outcome,Match Situation,Players Involved
20,2024,23 March 2024 - night (20-over match),"Eden Gardens, Kolkata",KKR vs SRH,KKR won by 4 runs,Russell trumps Klaasen as KKR hold on for win; Harshit Rana successfully defends 12 off the final over to hand the home side a thrilling four-run victory against Sunrisers,"Russell, Harshit Rana"
21,2024,23 April 2024 - night (20-over match),"MA Chidambaram Stadium, Chepauk, Chennai",CSK vs LSG,LSG won by 6 wickets (with 3 balls remaining),Marcus Stoinis silences Chepauk with hundred in record chase; Lucknow Super Giants beat the Chennai Super Kings for the second time in the space of five days,Marcus Stoinis
22,2024,13 April 2024 - night (20-over match),"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",PBKS vs RR,RR won by 3 wickets (with 1 ball remaining),"Hetmyer the hero as Royals take low-scoring thriller; Despite an excellent 19th over from Curran and a good effort from Arshdeep, Hetmyer guided Royals home with an unbeaten ten-ball 27","Hetmyer, Curran"
23,2024,15 April 2024 - night (20-over match),"M Chinnaswamy Stadium, Bengaluru",RCB vs SRH,SRH won by 25 runs,"Head, Klaasen play decisive hands in Chinnaswamy big bash; Sunrisers bested RCB on a night that produced the biggest IPL total and the highest match aggregate in all T20s","Head, Klaasen"
24,2024,14 April 2024 - night (20-over match),"Wankhede Stadium, Mumbai",MI vs CSK,CSK won by 20 runs,Pathirana's four-for overshadows Rohit's ton as Mumbai go down; Mumbai's innings looked like it was going smoothly but some sensational defensive bowling helped CSK seal the game,"Pathirana, Rohit"
25,2024,18 May 2024 - night (20-over match),"M Chinnaswamy Stadium, Bengaluru",RCB vs CSK,RCB won by 27 runs,CSK knocked out as RCB win six in a row to make playoffs; Yash Dayal held his nerve and gave away just seven runs in the final over to help RCB seal a thriller,Yash Dayal
26,2024,7 April 2024 - night (20-over match),"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG vs GT,LSG won by 33 runs,"Spinners, Yash Thakur defend 163 to seal LSG's first-ever win against Titans; Titans looked on track in the chase at a point but then lost eight wickets for just 48 runs",Yash Thakur
27,2024,16 April 2024 - night (20-over match),"Eden Gardens, Kolkata",KKR vs RR,RR won by 2 wickets (with 0 balls remaining),"Buttler's 107* tops Narine's 109 as Royals ace record chase against KKR; Royals' show equalled the record for the highest successful chase in IPL history, which they had held since 2020",Buttler
28,2024,11 April 2024 - night (20-over match),"Wankhede Stadium, Mumbai",MI vs RCB,MI won by 7 wickets (with 27 balls remaining),"Bumrah five-for and express Kishan, SKY fifties take MI to bruising win over RCB; Fifties from du Plessis, Patidar and Karthik took RCB to 196, but MI topped that in just 15.3 overs","Bumrah, Kishan"
29,2024,29 April 2024 - night (20-over match),"Eden Gardens, Kolkata",KKR vs DC,KKR won by 7 wickets (with 21 balls remaining),"Varun and Salt star in comprehensive KKR win; The hosts chased down 154 against Delhi Capitals with ease to boost their NRR to 1.096, the best of any team in the competition","Varun, Salt"
30,2024,12 May 2024 - daynight (20-over match),"MA Chidambaram Stadium, Chepauk, Chennai",CSK vs RR,CSK won by 5 wickets (with 10 balls remaining),Simarjeet and Gaikwad keep CSK's campaign alive; CSK's bowlers executed their plans perfectly on a slow pitch to consign Royals to their third straight defeat,"Simarjeet, Gaikwad"
31,2023,30 April 2023 - daynight (20-over match),"MA Chidambaram Stadium, Chepauk, Chennai",CSK vs PBKS,PBKS won by 4 wickets (with 0 balls remaining),Raza trumps Pathirana as Punjab Kings win last-ball thriller; Devon Conway's unbeaten 92 and MS Dhoni's late sixes took CSK to 200 but it didn't prove enough,"Raza, Pathirana, Devon Conway"
32,2023,20 May 2023 - night (20-over match),"Eden Gardens, Kolkata",KKR vs LSG,LSG won by 1 run,"Pooran, Bishnoi seal Lucknow Super Giants' playoffs spot with thrilling one-run win; Rinku Singh nearly pulled off a stunning chase as KKR's campaign came to an end","Pooran, Bishnoi, Rinku Singh"
33,2023,18 May 2023 - night (20-over match),"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH vs RCB,RCB won by 8 wickets (with 4 balls remaining),"Clinical Kohli, du Plessis keep RCB's fate in their hands; The opening pair bossed the chase after Klaasen's masterly 104 from 51 balls set a target of 187","Kohli, du Plessis"
34,2023,05 April 2023 - night (20-over match),"Barsapara Cricket Stadium, Guwahati",RR vs PBKS,PBKS won by 5 runs,"Dhawan, Ellis and Prabhsimran help Kings survive Impact Sub scare; The Royals youngster Jurel almost won it for them in the end as he went on a boundary-hitting spree with Hetmyer","Dhawan, Ellis, Prabhsimran, Jurel, Hetmyer"
35,2023,27 April 2023 - night (20-over match),"Sawai Mansingh Stadium, Jaipur",RR vs CSK,RR won by 32 runs,Jaiswal and Zampa take Royals to the top of the table; Rajasthan scored the first 200-plus total in the IPL in Jaipur to beat CSK for the second time this season,"Jaiswal, Zampa"
36,2023,16 April 2023 - daynight (20-over match),"Wankhede Stadium, Mumbai",MI vs KKR,MI won by 5 wickets (with 14 balls remaining),Kishan and Suryakumar topple Knight Riders despite Venkatesh 104; The other Knight Riders struggled on a slow pitch and an excellent innings went in vain,"Kishan, Suryakumar"
37,2023,10 May 2023 - night (20-over match),"MA Chidambaram Stadium, Chepauk, Chennai",CSK vs DC,CSK won by 27 runs,"Dube, Dhoni cameos and all-star bowling give CSK seventh win; Capitals stay stuck at No.10 on the points table after a poor performance with the bat","Dube, Dhoni"
38,2023,24 April 2023 - night (20-over match),"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH vs DC,DC won by 7 runs,Delhi Capitals hang on to defend 144 against Sunrisers Hyderabad; Washington's all-round effort in vain for Sunrisers as they slide to fifth loss this season,Washington
39,2023,20 April 2023 - daynight (20-over match),"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",PBKS vs RCB,RCB won by 24 runs,Du Plessis and Siraj work their magic in Royal Challengers Bangalore victory; Punjab Kings fell well short of a target of 174 on a pitch which was hard to bat on,"Du Plessis, Siraj"
40,2023,10 April 2023 - night (20-over match),"M Chinnaswamy Stadium, Bengaluru",RCB vs LSG,LSG won by 1 wicket (with 0 balls remaining),"Lucknow Super Giants pull off thrilling win after Pooran, Stoinis blitz and dramatic finish; Lucknow Super Giants turned it around in the final few overs as they registered the highest chase of the IPL this season","Pooran, Stoinis"
41,2023,14 April 2023 - night (20-over match),"Eden Gardens, Kolkata",KKR vs SRH,SRH won by 23 runs,"Brook's unbeaten century gives Sunrisers enough to trump Knight Riders; Nitish Rana and Rinku Singh gave KKR a chance after SRH put up the biggest total of the season so far, but they fell well short in the end","Brook, Nitish Rana, Rinku Singh"
42,2023,11 April 2023 - night (20-over match),"Arun Jaitley Stadium, Delhi",DC vs MI,MI won by 6 wickets (with 0 balls remaining),"Chawla, Rohit star as Mumbai earn first points in last-ball thriller; Delhi remained winless after four games despite a brilliant final over from Anrich Nortje","Chawla, Rohit"
43,2023,20 April 2023 - night (20-over match),"Arun Jaitley Stadium, Delhi",DC vs KKR,DC won by 4 wickets (with 4 balls remaining),"Bowlers, Warner end Capitals' losing streak; KKR's spinners made life difficult in a chase of 128, but the home team prevailed in the end",Warner
44,2023,19 April 2023 - night (20-over match),"Sawai Mansingh Stadium, Jaipur",RR vs LSG,LSG won by 10 runs,"Avesh, Stoinis help LSG pull off season's lowest defence; Hardly anyone got going for Rajasthan Royals after the openers Buttler and Jaiswal","Avesh, Stoinis"
45,2023,08 April 2023 - night (20-over match),"Wankhede Stadium, Mumbai",MI vs CSK,CSK won by 7 wickets (with 11 balls remaining),"Jadeja, Santner and Rahane hand Mumbai a drubbing; Super Kings restricted the hosts to 157 before Rahane tonked a 27-ball 61 on his franchise debut","Jadeja, Santner, Rahane"
46,2023,26 April 2023 - night (20-over match),"M Chinnaswamy Stadium, Bengaluru",RCB vs KKR,KKR won by 21 runs,Varun and Suyash wreck RCB's chase again; KKR's new opener Jason Roy set them up for a total of 200 by smashing 56 off 29 balls,"Varun, Suyash"
47,2024,4 April 2024 - night (20-over match),"Narendra Modi Stadium, Ahmedabad",GT vs PBKS,PBKS won by 3 wickets (with 1 ball remaining),"Shashank Singh, Ashutosh Sharma make Punjab kings of Gujarat; The duo helped chase down 41 off the last three overs to hand Punjab an unlikely win","Shashank Singh, Ashutosh Sharma"
48,2024,7 May 2024 - night (20-over match),"Arun Jaitley Stadium, Delhi",DC vs RR,DC won by 20 runs,"Kuldeep, Mukesh, openers seal crucial win for Capitals; A superb batting effort from Fraser-McGurk, Porel and Stubbs took Capitals to 221","Kuldeep, Mukesh"
49,2024,2 May 2024 - night (20-over match),"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH vs RR,SRH won by 1 run,"Cummins, Bhuvneshwar help SRH snatch thriller by one run; Cummins bowled a superb 19th over followed by Bhuvneshwar successfully defending 12 in the final over","Cummins, Bhuvneshwar"
50,2024,24 March 2024 - daynight (20-over match),"Sawai Mansingh Stadium, Jaipur",RR vs LSG,RR won by 20 runs,"Samson, Boult star as Royals overpower LSG; Pooran, Rahul fifties took the chase deep but LSG fell short by 20 runs","Pooran, Rahul"
